avtor,ocena,stevilo_ocen,stevilo_strani,cas_branja,nagrajena,id,naslov,url
Michel Bussi,5.0,2,,,False,crni-lokvanji,Črni lokvanji,https://www.dobreknjige.si/knjige/crni-lokvanji/
Frank Herbert,5.0,2,397,13-14 ur,False,otroka-pescenega-planeta,Otroka peščenega planeta,https://www.dobreknjige.si/knjige/otroka-pescenega-planeta/
Enis Maci,4.0,1,207,6-7 ur,False,sladoledarna-evropa-eseji,Sladoledarna Evropa : eseji,https://www.dobreknjige.si/knjige/sladoledarna-evropa-eseji/
J. M. Coetzee,4.0,1,170,5-6 ur,True,v-srcu-dezele,V srcu dežele,https://www.dobreknjige.si/knjige/v-srcu-dezele/
Sonja Pungertnik,4.5,6,174,5-6 ur,False,mislis-resno-ljubezen-v-odtenku-drugacnosti-roman,Misliš resno? : ljubezen v odtenku drugačnosti : roman,https://www.dobreknjige.si/knjige/mislis-resno-ljubezen-v-odtenku-drugacnosti-roman/
Slavko Pregl,2.5,2,180,6-6 ur,False,prodajalci-megle,Prodajalci megle,https://www.dobreknjige.si/knjige/prodajalci-megle/
Vladimir Nabokov,5.0,1,541,18-19 ur,False,ada-ali-strast,Ada ali strast,https://www.dobreknjige.si/knjige/ada-ali-strast/
Lori Gottlieb,4.5,4,522,17-18 ur,False,morda-pa-se-moras-z-nekom-pogovoriti-razkrijejo-se-terapevtka-njen-terapevt-in-nasa-zivljenja,Morda pa se moraš z nekom pogovoriti: razkrijejo se terapevt [...],https://www.dobreknjige.si/knjige/morda-pa-se-moras-z-nekom-pogovoriti-razkrijejo-se-terapevtka-njen-terapevt-in-nasa-zivljenja/
Lana Bastašić,4.2,16,187,6-7 ur,True,ujemi-zajca,Ujemi zajca,https://www.dobreknjige.si/knjige/ujemi-zajca/
Feri Lainšček,0.0,0,303,10-11 ur,False,peronarji,Peronarji,https://www.dobreknjige.si/knjige/peronarji/
Maryanne Wolf,4.0,3,237,7-8 ur,False,bralec-vrni-se-domov-beroci-mozgani-v-digitalnem-svetu,"Bralec, vrni se domov : beroči možgani v digitalnem svetu",https://www.dobreknjige.si/knjige/bralec-vrni-se-domov-beroci-mozgani-v-digitalnem-svetu/
Črt Kanoni,4.8,4,237,7-8 ur,False,tam-dola-za-zidom,"Tam dola, za zidom",https://www.dobreknjige.si/knjige/tam-dola-za-zidom/
George Saunders,4.5,4,276,9-10 ur,True,lincoln-v-bardu,Lincoln v bardu,https://www.dobreknjige.si/knjige/lincoln-v-bardu/
Lane Smith,0.0,0,,,False,to-je-knjiga,To je knjiga,https://www.dobreknjige.si/knjige/to-je-knjiga/
Barbro Lindgren,0.0,0,,,False,zgodba-o-malem-starem-mozu,Zgodba o malem starem možu,https://www.dobreknjige.si/knjige/zgodba-o-malem-starem-mozu/
Toshikazu Kawaguchi,4.3,28,274,9-10 ur,False,preden-se-kava-ohladi,Preden se kava ohladi,https://www.dobreknjige.si/knjige/preden-se-kava-ohladi/
Pirkko Vainio,0.0,0,23,1 ur,False,za-tiste-ki-hocejo-leteti,"Za tiste, ki hočejo leteti",https://www.dobreknjige.si/knjige/za-tiste-ki-hocejo-leteti/
Andrej Rozman,5.0,1,,,False,urska,Urška,https://www.dobreknjige.si/knjige/urska/
Andrew Sean Greer,4.0,1,293,9-10 ur,True,manj-roman,Manj : roman,https://www.dobreknjige.si/knjige/manj-roman/
Arnon Yasha Yves Grunberg,4.0,3,416,13-14 ur,False,dobri-mozje,Dobri možje,https://www.dobreknjige.si/knjige/dobri-mozje/
Viktor Olegovič Pelevin,5.0,1,194,6-7 ur,False,rumena-puscica,Rumena puščica,https://www.dobreknjige.si/knjige/rumena-puscica/
Gary Paulsen,5.0,2,141,4-5 ur,False,sekira-resitve,Sekira rešitve,https://www.dobreknjige.si/knjige/sekira-resitve/
Miri Yu,0.0,0,373,12-13 ur,False,zlata-mrzlica,Zlata mrzlica,https://www.dobreknjige.si/knjige/zlata-mrzlica/
Kobi Yamada,0.0,0,34,1-2 ur,False,kaj-storis-z-idejo,Kaj storiš z idejo?,https://www.dobreknjige.si/knjige/kaj-storis-z-idejo/
Jernej Županič,0.0,0,207,6-7 ur,True,mamuti,Mamuti,https://www.dobreknjige.si/knjige/mamuti/
Samanta Schweblin,4.2,5,102,3-4 ur,False,varna-razdalja,Varna razdalja,https://www.dobreknjige.si/knjige/varna-razdalja/
Klaus Rifbjerg,0.0,0,122,4-5 ur,False,slika,Slika,https://www.dobreknjige.si/knjige/slika/
Vinko Möderndorfer,4.5,2,274,9-10 ur,False,pokrajina-st-2,Pokrajina št. 2,https://www.dobreknjige.si/knjige/pokrajina-st-2/
Irina Denežkina,0.0,0,,,False,daj-mi-song-for-lovers,Daj mi! : (song for lovers),https://www.dobreknjige.si/knjige/daj-mi-song-for-lovers/
Jack Kerouac,3.8,5,289,9-10 ur,False,na-cesti-izvirni-zvitek,Na cesti : izvirni zvitek,https://www.dobreknjige.si/knjige/na-cesti-izvirni-zvitek/
Yoko Ogawa,4.2,5,200,6-7 ur,False,hotel-iris,Hotel Iris,https://www.dobreknjige.si/knjige/hotel-iris/
Bettina Wilpert,4.0,6,149,4-5 ur,True,kar-se-nam-ne-dogaja,Kar se nam ne dogaja,https://www.dobreknjige.si/knjige/kar-se-nam-ne-dogaja/
A Homes,2.0,1,356,11-12 ur,False,knjiga-ki-vam-bo-spremenila-zivljenje,"Knjiga, ki vam bo spremenila življenje",https://www.dobreknjige.si/knjige/knjiga-ki-vam-bo-spremenila-zivljenje/
Pavao Pavličić,5.0,2,227,7-8 ur,False,donava,Donava,https://www.dobreknjige.si/knjige/donava/
Olga Tokarczuk,4.5,8,159,5-6 ur,False,bizarne-zgodbe,Bizarne zgodbe,https://www.dobreknjige.si/knjige/bizarne-zgodbe/
Graham Swift,0.0,0,416,13-14 ur,False,povodje,Povodje,https://www.dobreknjige.si/knjige/povodje/
Lukas Bärfuss,5.0,1,143,4-5 ur,True,hagard,Hagard,https://www.dobreknjige.si/knjige/hagard/
Oscar Wilde,4.0,4,83,2-3 ur,False,cantervilski-duh,Cantervilski duh,https://www.dobreknjige.si/knjige/cantervilski-duh/
Olga Tokarczuk,1.0,1,379,12-13 ur,True,dnevna-hisa-nocna-hisa,"Dnevna hiša, nočna hiša",https://www.dobreknjige.si/knjige/dnevna-hisa-nocna-hisa/
Linn Skåber,5.0,7,254,8-9 ur,False,cez-potok-ne-cez-most,"Čez potok, ne čez most",https://www.dobreknjige.si/knjige/cez-potok-ne-cez-most/
Clare Azzopardi,5.0,4,111,3-4 ur,False,imena-ki-so-jih-pustile-za-seboj,"Imena, ki so jih pustile za seboj",https://www.dobreknjige.si/knjige/imena-ki-so-jih-pustile-za-seboj/
Bianca Bellová,5.0,6,159,5-6 ur,True,jezero,Jezero,https://www.dobreknjige.si/knjige/jezero/
Adam Foulds,4.8,4,197,6-7 ur,True,blodnjak-prebujenja,Blodnjak prebujenja,https://www.dobreknjige.si/knjige/blodnjak-prebujenja/
Sara Stridsberg,4.8,6,341,11-12 ur,True,beckomberga-oda-moji-druzini,Beckomberga : oda moji družini,https://www.dobreknjige.si/knjige/beckomberga-oda-moji-druzini/
Avgust Demšar,4.9,12,,,False,cerkev,Cerkev,https://www.dobreknjige.si/knjige/cerkev/
Jana Vagner,4.3,3,331,11-12 ur,False,pandemija-elektronski-vir-kako-v-skrajnih-razmerah-ostati-clovek,Pandemija [Elektronski vir] : [kako v skrajnih razmerah osta [...],https://www.dobreknjige.si/knjige/pandemija-elektronski-vir-kako-v-skrajnih-razmerah-ostati-clovek/
Ivan Cankar,0.0,0,129,4-5 ur,False,gospa-judit-elektronski-vir,Gospa Judit [Elektronski vir],https://www.dobreknjige.si/knjige/gospa-judit-elektronski-vir/
Roald Dahl,5.0,1,32,1-2 ur,False,odvratne-rime,Odvratne rime,https://www.dobreknjige.si/knjige/odvratne-rime/
Dušan Mitana,0.0,0,226,7-8 ur,False,pasji-dnevi,Pasji dnevi,https://www.dobreknjige.si/knjige/pasji-dnevi/
Colson Whitehead,4.4,12,382,12-13 ur,True,podzemna-zeleznica,Podzemna železnica,https://www.dobreknjige.si/knjige/podzemna-zeleznica/
Michael Crichton,4.0,2,391,13-14 ur,False,vzhajajoce-sonce,Vzhajajoče sonce,https://www.dobreknjige.si/knjige/vzhajajoce-sonce/
Isabella Hatkoff,0.0,0,,,False,owen-mzee-resnicna-zgodba-o-nenavadnem-prijateljstvu,Owen &amp; Mzee : resnična zgodba o nenavadnem prijateljstvu,https://www.dobreknjige.si/knjige/owen-mzee-resnicna-zgodba-o-nenavadnem-prijateljstvu/
Marc Elsberg,3.9,8,414,13-14 ur,False,blackout-jutri-bo-prepozno,Blackout : jutri bo prepozno,https://www.dobreknjige.si/knjige/blackout-jutri-bo-prepozno/
Tone Hočevar,5.0,1,372,12-13 ur,False,skusnjave,Skušnjave,https://www.dobreknjige.si/knjige/skusnjave/
Mary Jennifer Payne,4.0,1,131,4-5 ur,False,dovolj,Dovolj,https://www.dobreknjige.si/knjige/dovolj/
Dezső Kosztolányi,4.0,3,247,8-9 ur,False,neron-krvavi-pesnik,"Neron, krvavi pesnik",https://www.dobreknjige.si/knjige/neron-krvavi-pesnik/
Jo Nesbø,4.6,9,509,16-17 ur,False,noz,Nož,https://www.dobreknjige.si/knjige/noz/
Vinko Vasle,5.0,2,221,7-8 ur,False,darovalec,Darovalec,https://www.dobreknjige.si/knjige/darovalec/
Elena Ferrante,4.6,24,437,14-15 ur,False,o-izgubljeni-deklici,O izgubljeni deklici,https://www.dobreknjige.si/knjige/o-izgubljeni-deklici/
Feri Lainšček,4.5,2,121,4-5 ur,True,prvotnost-poema-o-ljubezni,Prvotnost : poema o ljubezni,https://www.dobreknjige.si/knjige/prvotnost-poema-o-ljubezni/
Josephine Tey,3.0,2,248,8-9 ur,False,gospodicna-pym,Gospodična Pym,https://www.dobreknjige.si/knjige/gospodicna-pym/
Ingo Schulze,3.0,1,303,10-11 ur,False,33-trenutkov-srece-iz-zapisov-pustolovscin-nemcev-v-pitru,33 trenutkov sreče : iz zapisov pustolovščin Nemcev v Pitru,https://www.dobreknjige.si/knjige/33-trenutkov-srece-iz-zapisov-pustolovscin-nemcev-v-pitru/
Slavko Pregl,5.0,3,396,13-14 ur,False,srajca-srecnega-cloveka-moje-popotovanje-skozi-sedem-desetletij-in-se-malo,Srajca srečnega človeka : (moje popotovanje skozi sedem dese [...],https://www.dobreknjige.si/knjige/srajca-srecnega-cloveka-moje-popotovanje-skozi-sedem-desetletij-in-se-malo/
Renate Greinert,5.0,2,252,8-9 ur,False,rdeca-zanka-sporni-primer-darovanja-organov-materin-boj,Rdeča zanka : sporni primer darovanja organov &#8211; materi [...],https://www.dobreknjige.si/knjige/rdeca-zanka-sporni-primer-darovanja-organov-materin-boj/
Feri Lainšček,5.0,1,142,4-5 ur,False,poema-o-ljubezni-prvotnost,Poema o ljubezni &#8211; prvotnost,https://www.dobreknjige.si/knjige/poema-o-ljubezni-prvotnost/
Jason Lutes,2.0,1,616,20-21 ur,False,berlin-2,Berlin,https://www.dobreknjige.si/knjige/berlin-2/
Andrea Schwarz,4.0,1,123,4-5 ur,False,divji-bozic-drugacna-knjiga-za-adventni-in-bozicni-cas,Divji božič : drugačna knjiga za adventni in božični čas,https://www.dobreknjige.si/knjige/divji-bozic-drugacna-knjiga-za-adventni-in-bozicni-cas/
Josip Jurčič,0.0,0,111,3-4 ur,False,spomini-starega-slovenca,Spomini starega Slovenca,https://www.dobreknjige.si/knjige/spomini-starega-slovenca/
Gabriele D&#8217;Annunzio,4.0,2,276,9-10 ur,False,pescarske-zgodbe,Pescarske zgodbe,https://www.dobreknjige.si/knjige/pescarske-zgodbe/
Feri Lainšček,3.7,3,256,8-9 ur,True,ki-jo-je-megla-prinesla,Ki jo je megla prinesla,https://www.dobreknjige.si/knjige/ki-jo-je-megla-prinesla/
James Graham Ballard,3.0,1,210,7-7 ur,False,potopljeni-svet,Potopljeni svet,https://www.dobreknjige.si/knjige/potopljeni-svet/
Mary Basson,4.6,9,349,11-12 ur,False,slikarka,Slikarka,https://www.dobreknjige.si/knjige/slikarka/
Oyinkan Braithwaite,3.8,11,234,7-8 ur,False,moja-sestra-serijska-morilka,"Moja sestra, serijska morilka",https://www.dobreknjige.si/knjige/moja-sestra-serijska-morilka/
Laurent Seksik,5.0,3,176,5-6 ur,False,poslusni-sin-roman,Poslušni sin : roman,https://www.dobreknjige.si/knjige/poslusni-sin-roman/
Jenny Downham,4.5,4,324,10-11 ur,False,preden-umrem,Preden umrem,https://www.dobreknjige.si/knjige/preden-umrem/
Emilie Pine,4.3,8,216,7-8 ur,False,pisem-sebi-eseji,Pišem sebi : eseji,https://www.dobreknjige.si/knjige/pisem-sebi-eseji/
Sally Rooney,4.2,20,301,10-11 ur,False,pogovori-s-prijatelji,Pogovori s prijatelji,https://www.dobreknjige.si/knjige/pogovori-s-prijatelji/
Yasmina Reza,4.1,10,223,7-8 ur,False,babilon,Babilon,https://www.dobreknjige.si/knjige/babilon/
Damjana Bakarič,4.8,5,181,6-7 ur,False,razmerja-kratke-zgodbe,Razmerja : kratke zgodbe,https://www.dobreknjige.si/knjige/razmerja-kratke-zgodbe/
Feri Lainšček,4.5,2,174,5-6 ur,False,zadoscenje-kriminalni-roman,Zadoščenje : kriminalni roman,https://www.dobreknjige.si/knjige/zadoscenje-kriminalni-roman/
Ghada Karmi,4.0,1,333,11-12 ur,False,vrnitev-spomini-palestinke,Vrnitev : spomini Palestinke,https://www.dobreknjige.si/knjige/vrnitev-spomini-palestinke/
Maite Carranza,5.0,5,273,9-10 ur,False,poti-svobode,Poti svobode,https://www.dobreknjige.si/knjige/poti-svobode/
Ani Župančič,5.0,4,128,4-5 ur,False,spomini-na-otona,Spomini na Otona,https://www.dobreknjige.si/knjige/spomini-na-otona/
Eva Woods,4.5,17,406,13-14 ur,False,sto-srecnih-dni,Sto srečnih dni,https://www.dobreknjige.si/knjige/sto-srecnih-dni/
Anne Bondoux,3.5,2,144,4-5 ur,False,morilceve-solze,Morilčeve solze,https://www.dobreknjige.si/knjige/morilceve-solze/
Rosella Postorino,4.4,16,346,11-12 ur,False,hitlerjeve-pokusevalke-v-volcjem-brlogu,Hitlerjeve pokuševalke : v volčjem brlogu,https://www.dobreknjige.si/knjige/hitlerjeve-pokusevalke-v-volcjem-brlogu/
Juan José Millás,5.0,2,96,3-4 ur,False,moja-resnicna-zgodba,Moja resnična zgodba,https://www.dobreknjige.si/knjige/moja-resnicna-zgodba/
Sharon Creech,4.6,8,255,8-9 ur,True,za-dve-luni-hoda,Za dve luni hoda,https://www.dobreknjige.si/knjige/za-dve-luni-hoda/
Johann Wolfgang von Goethe,5.0,2,233,7-8 ur,False,izbirne-sorodnosti,Izbirne sorodnosti,https://www.dobreknjige.si/knjige/izbirne-sorodnosti/
Helena Henschen,4.0,1,305,10-11 ur,False,v-senci-zlocina,V senci zločina,https://www.dobreknjige.si/knjige/v-senci-zlocina/
Petja Rijavec,4.6,16,213,7-8 ur,False,najini-valovi,Najini valovi,https://www.dobreknjige.si/knjige/najini-valovi/
Jesús Carrasco,5.0,5,224,7-8 ur,True,zemlja-po-kateri-stopamo,"Zemlja, po kateri stopamo",https://www.dobreknjige.si/knjige/zemlja-po-kateri-stopamo/
Vinko Möderndorfer,0.0,0,352,11-12 ur,False,izdelovalec-zvonov,Izdelovalec zvonov,https://www.dobreknjige.si/knjige/izdelovalec-zvonov/
Marguerite Duras,5.0,6,171,5-6 ur,False,zamaknjenost-lol-v-stein,Zamaknjenost Lol V. Stein,https://www.dobreknjige.si/knjige/zamaknjenost-lol-v-stein/
Carl Sandburg,0.0,0,88,2-3 ur,True,izbrane-pesmi,Izbrane pesmi,https://www.dobreknjige.si/knjige/izbrane-pesmi/
Care Santos,4.7,12,208,6-7 ur,False,laz,Laž,https://www.dobreknjige.si/knjige/laz/
Mattias Edvardsson,4.3,12,447,14-15 ur,False,cisto-obicajna-druzina,Čisto običajna družina,https://www.dobreknjige.si/knjige/cisto-obicajna-druzina/
Peter Čeferin,4.5,12,231,7-8 ur,False,sodni-dnevi,Sodni dnevi,https://www.dobreknjige.si/knjige/sodni-dnevi/
John Grisham,4.3,3,376,12-13 ur,False,velika-prevara,Velika prevara,https://www.dobreknjige.si/knjige/velika-prevara/
Andrej Nikolaidis,0.0,0,93,3-4 ur,True,madzarski-stavek-zaloigra,Madžarski stavek : žaloigra,https://www.dobreknjige.si/knjige/madzarski-stavek-zaloigra/
Franjo Frančič,0.0,0,,,False,ujemite-paza,Ujemite paža,https://www.dobreknjige.si/knjige/ujemite-paza/
Dolores Redondo,3.5,2,503,16-17 ur,False,vse-to-ti-bom-dal,Vse to ti bom dal,https://www.dobreknjige.si/knjige/vse-to-ti-bom-dal/
Dragan Petrovec,4.6,7,122,4-5 ur,False,pismo-nigerijske-vdove,Pismo nigerijske vdove,https://www.dobreknjige.si/knjige/pismo-nigerijske-vdove/
T. M. Logan,4.6,9,437,14-15 ur,False,lazi,Laži,https://www.dobreknjige.si/knjige/lazi/
Dušan Jovanović,4.6,13,285,9-10 ur,False,na-stara-leta-sem-vzljubil-svojo-mamo,Na stara leta sem vzljubil svojo mamo,https://www.dobreknjige.si/knjige/na-stara-leta-sem-vzljubil-svojo-mamo/
E. L. Doctorow,5.0,5,148,4-5 ur,False,zivljenja-pesnikov,Življenja pesnikov,https://www.dobreknjige.si/knjige/zivljenja-pesnikov/
Blaž Vurnik,4.7,10,124,4-5 ur,False,ivan-cankar-podobe-iz-zivljenja,Ivan Cankar : podobe iz življenja,https://www.dobreknjige.si/knjige/ivan-cankar-podobe-iz-zivljenja/
Vilmos Kondor,4.7,9,248,8-9 ur,False,budimpesta-noir,Budimpešta noir,https://www.dobreknjige.si/knjige/budimpesta-noir/
Hiner Saleem,3.7,3,129,4-5 ur,False,ocetova-puska,Očetova puška,https://www.dobreknjige.si/knjige/ocetova-puska/
Gabriele Clima,4.8,11,166,5-6 ur,True,sonce-med-prsti,Sonce med prsti,https://www.dobreknjige.si/knjige/sonce-med-prsti/
Antonio Tabucchi,3.5,2,135,4-5 ur,True,indijski-nokturno,Indijski nokturno,https://www.dobreknjige.si/knjige/indijski-nokturno/
Tatjana Kokalj,3.0,1,109,3-4 ur,False,packa-na-asfaltu,Packa na asfaltu,https://www.dobreknjige.si/knjige/packa-na-asfaltu/
Mireille Geus,4.7,7,190,6-7 ur,False,plesi,Pleši!,https://www.dobreknjige.si/knjige/plesi/
Saša Pergar,0.0,0,,,False,knjiga-piskrc-in-marela-primozeva-knjiga-pravljica-o-knjigi,"Knjiga, Piskrc in Marela : Primoževa knjiga : pravljica o kn [...]",https://www.dobreknjige.si/knjige/knjiga-piskrc-in-marela-primozeva-knjiga-pravljica-o-knjigi/
Jani Virk,4.6,14,195,6-7 ur,False,brez-imena,Brez imena,https://www.dobreknjige.si/knjige/brez-imena/
Janko Valjavec,0.0,0,222,7-8 ur,False,obracunska-obdobja-kratke-zgodbe,Obračunska obdobja : (kratke zgodbe),https://www.dobreknjige.si/knjige/obracunska-obdobja-kratke-zgodbe/
Michel Serres,0.0,0,91,3-4 ur,False,palcica,Palčica,https://www.dobreknjige.si/knjige/palcica/
Jan Weiler,3.0,1,108,3-4 ur,False,puberzver,Puberzver,https://www.dobreknjige.si/knjige/puberzver/
Nadia Murad,4.3,4,319,10-11 ur,False,zadnje-dekle-moja-zgodba-o-ujetnistvu-in-boju-proti-islamski-drzavi,Zadnje dekle : moja zgodba o ujetništvu in boju proti islams [...],https://www.dobreknjige.si/knjige/zadnje-dekle-moja-zgodba-o-ujetnistvu-in-boju-proti-islamski-drzavi/
Tommy Wieringa,4.5,10,294,9-10 ur,False,to-so-imena,To so imena,https://www.dobreknjige.si/knjige/to-so-imena/
Hiromi Kawakami,4.4,21,214,7-8 ur,True,aktovka,Aktovka,https://www.dobreknjige.si/knjige/aktovka/
Arsen Dedić,4.7,7,124,4-5 ur,False,arsenizmi-arsen-dedic-o-sebi-in-drugih-ter-drugi-o-njemu,Arsenizmi : [Arsen Dedić o sebi in drugih ter drugi o njemu],https://www.dobreknjige.si/knjige/arsenizmi-arsen-dedic-o-sebi-in-drugih-ter-drugi-o-njemu/
K Tucker,5.0,1,203,6-7 ur,False,ujet-ob-njej,Ujet ob njej,https://www.dobreknjige.si/knjige/ujet-ob-njej/
Stian Hole,0.0,0,,,False,garmannovo-poletje,Garmannovo poletje,https://www.dobreknjige.si/knjige/garmannovo-poletje/
Roald Dahl,4.7,14,234,7-8 ur,False,poba-zgodbe-iz-otrostva,Poba : zgodbe iz otroštva,https://www.dobreknjige.si/knjige/poba-zgodbe-iz-otrostva/
Dunja Jogan,5.0,1,,,False,sreckov-kovcek,Srečkov kovček,https://www.dobreknjige.si/knjige/sreckov-kovcek/
Ines Hrain,4.7,7,319,10-11 ur,False,najdebelejsa,Najdebelejša,https://www.dobreknjige.si/knjige/najdebelejsa/
Goran Stojičić,5.0,1,245,8-9 ur,False,nespecni,Nespečni,https://www.dobreknjige.si/knjige/nespecni/
Nuša Januš,3.0,2,168,5-6 ur,False,nedokoncana,Nedokončana,https://www.dobreknjige.si/knjige/nedokoncana/
Janko Valjavec,0.0,0,323,10-11 ur,False,v-vodi-mrtve-savke,V vodi mrtve Savke,https://www.dobreknjige.si/knjige/v-vodi-mrtve-savke/
Alexandra Reinwarth,3.0,2,201,6-7 ur,False,umetnost-posiljanja-v-r-kako-zivljenje-postane-lepse-ko-se-koncno-malo-sprostis,"Umetnost pošiljanja v r** : kako življenje postane lepše, ko [...]",https://www.dobreknjige.si/knjige/umetnost-posiljanja-v-r-kako-zivljenje-postane-lepse-ko-se-koncno-malo-sprostis/
J. K. Rowling,4.9,7,69,2-3 ur,False,zelo-dobra-zivljenja,Zelo dobra življenja,https://www.dobreknjige.si/knjige/zelo-dobra-zivljenja/
Amos Oz,5.0,2,326,10-11 ur,False,juda,Juda,https://www.dobreknjige.si/knjige/juda/
Vladislav Otrošenko,5.0,2,117,3-4 ur,False,gogoliana,Gogoliana,https://www.dobreknjige.si/knjige/gogoliana/
Eva Markun,4.0,1,231,7-8 ur,True,menazerija,Menažerija,https://www.dobreknjige.si/knjige/menazerija/
John Green,4.5,19,280,9-10 ur,False,neskoncen-stolp-zelv,Neskončen stolp želv,https://www.dobreknjige.si/knjige/neskoncen-stolp-zelv/
Metod Pevec,0.0,0,269,8-9 ur,False,teza-neba,Teža neba,https://www.dobreknjige.si/knjige/teza-neba/
Harriet Jacobs,4.8,9,251,8-9 ur,False,spomini-mlade-suznje-avtobiografija,Spomini mlade sužnje : [avtobiografija],https://www.dobreknjige.si/knjige/spomini-mlade-suznje-avtobiografija/
Roman Rozina,5.0,1,78,2-3 ur,False,kolo-srece,Kolo sreče,https://www.dobreknjige.si/knjige/kolo-srece/
Karen M McManus,4.7,18,327,10-11 ur,False,eden-od-nas-laze,Eden od nas laže,https://www.dobreknjige.si/knjige/eden-od-nas-laze/
Anja Cimerman,5.0,2,66,2-3 ur,False,fatamorgana,Fatamorgana,https://www.dobreknjige.si/knjige/fatamorgana/
Jean Del Amo,5.0,1,304,10-11 ur,False,zivalsko-kraljestvo,Živalsko kraljestvo,https://www.dobreknjige.si/knjige/zivalsko-kraljestvo/
Jennifer Laam,4.7,7,397,13-14 ur,False,izgubljeni-cas-ljubezni-in-snega,Izgubljeni čas ljubezni in snega,https://www.dobreknjige.si/knjige/izgubljeni-cas-ljubezni-in-snega/
Slavenka Drakulić,4.1,25,208,6-7 ur,False,mileva-einstein-teorija-zalosti,"Mileva Einstein, teorija žalosti",https://www.dobreknjige.si/knjige/mileva-einstein-teorija-zalosti/
Vinko Möderndorfer,4.7,10,824,27-28 ur,False,druga-preteklost,Druga preteklost,https://www.dobreknjige.si/knjige/druga-preteklost/
Tomo Podstenšek,5.0,2,151,5-6 ur,False,ribji-krik,Ribji krik,https://www.dobreknjige.si/knjige/ribji-krik/
Guadalupe Nettel,4.5,2,141,4-5 ur,False,bodljikave-zgodbe,Bodljikave zgodbe,https://www.dobreknjige.si/knjige/bodljikave-zgodbe/
Connie Palmen,4.8,13,260,8-9 ur,False,ti-si-rekel,Ti si rekel,https://www.dobreknjige.si/knjige/ti-si-rekel/
Miles Franklin,4.7,11,309,10-11 ur,False,moja-sijajna-kariera,Moja sijajna kariera,https://www.dobreknjige.si/knjige/moja-sijajna-kariera/
Lesley Choyce,4.9,7,93,3-4 ur,False,konec-skrivalnic,Konec skrivalnic,https://www.dobreknjige.si/knjige/konec-skrivalnic/
Ilija Trojanow,0.0,0,90,3-3 ur,False,odvecni-clovek,Odvečni človek,https://www.dobreknjige.si/knjige/odvecni-clovek/
Lars Gustafsson,4.0,1,168,5-6 ur,False,cebelarjeva-smrt,Čebelarjeva smrt,https://www.dobreknjige.si/knjige/cebelarjeva-smrt/
Teresa Cremisi,4.7,9,173,5-6 ur,False,zmagovalka,Zmagovalka,https://www.dobreknjige.si/knjige/zmagovalka/
Stephen King,4.8,10,509,16-17 ur,False,gospod-mercedes,Gospod Mercedes,https://www.dobreknjige.si/knjige/gospod-mercedes/
Jean Bannalec,4.9,11,293,9-10 ur,False,zivljenje-v-roznatem-komisar-dupin-razresi-sesti-primer,Življenje v rožnatem : komisar Dupin razreši šesti primer,https://www.dobreknjige.si/knjige/zivljenje-v-roznatem-komisar-dupin-razresi-sesti-primer/
Laura Schroff,4.5,6,326,10-11 ur,False,angeli-na-zemlji-navdihujoce-zgodbe-o-usodi-prijateljstvu-in-moci-povezanosti,"Angeli na zemlji : navdihujoče zgodbe o usodi, prijateljstvu [...]",https://www.dobreknjige.si/knjige/angeli-na-zemlji-navdihujoce-zgodbe-o-usodi-prijateljstvu-in-moci-povezanosti/
Lee Child,4.3,3,400,13-14 ur,False,materino-zatocisce,Materino zatočišče,https://www.dobreknjige.si/knjige/materino-zatocisce/
Peter Stamm,4.2,19,259,8-9 ur,False,sedem-let,Sedem let,https://www.dobreknjige.si/knjige/sedem-let/
Marco Erba,4.5,11,319,10-11 ur,False,med-nama,Med nama,https://www.dobreknjige.si/knjige/med-nama/
Émile Zola,5.0,9,56,1-2 ur,False,umetnina,Umetnina,https://www.dobreknjige.si/knjige/umetnina/
George Saunders,4.0,2,254,8-9 ur,False,deseti-december,Deseti december,https://www.dobreknjige.si/knjige/deseti-december/
Jennifer Clement,4.8,10,215,7-8 ur,False,molitve-za-ugrabljene,Molitve za ugrabljene,https://www.dobreknjige.si/knjige/molitve-za-ugrabljene/
Polona Kovač,3.0,1,120,4-4 ur,False,loverboy-mladinski-roman,Loverboy : mladinski roman,https://www.dobreknjige.si/knjige/loverboy-mladinski-roman/
Kazuo Ishiguro,4.5,11,254,8-9 ur,False,ostanki-dneva,Ostanki dneva,https://www.dobreknjige.si/knjige/ostanki-dneva/
Krzysztof Olaf Charamsa,3.9,7,302,10-11 ur,False,prvi-kamen,Prvi kamen,https://www.dobreknjige.si/knjige/prvi-kamen/
Lao She,4.7,3,316,10-11 ur,False,riksa,Rikša,https://www.dobreknjige.si/knjige/riksa/
Matej Krajnc,4.7,7,148,4-5 ur,False,lado-ena-sama-ljubezen-zivljenje-in-delo-lada-leskovarja-avtorizirana-biografija,Lado : ena sama ljubezen : življenje in delo Lada Leskovarja [...],https://www.dobreknjige.si/knjige/lado-ena-sama-ljubezen-zivljenje-in-delo-lada-leskovarja-avtorizirana-biografija/
Vladimir Pištalo,3.5,2,79,2-3 ur,False,aleksandrida,Aleksandrida,https://www.dobreknjige.si/knjige/aleksandrida/
Tamara Bach,4.8,9,110,3-4 ur,False,ostanki-poletja,Ostanki poletja,https://www.dobreknjige.si/knjige/ostanki-poletja/
