avtor,ocena,stevilo_ocen,stevilo_strani,cas_branja,nagrajena,id,naslov,url
Alexander McCall Smith,4.0,4,218,7-8 ur,False,prva-damska-detektivska-agencija,Prva damska detektivska agencija,https://www.dobreknjige.si/knjige/prva-damska-detektivska-agencija/
Wayland Drew,0.0,0,191,6-7 ur,False,willow,Willow,https://www.dobreknjige.si/knjige/willow/
Jasmina Klopčič,0.0,0,232,7-8 ur,False,otip-narave-pletarski-prirocnik,Otip narave : pletarski priročnik,https://www.dobreknjige.si/knjige/otip-narave-pletarski-prirocnik/
Metod Pevec,4.2,5,357,11-12 ur,False,greh,Greh,https://www.dobreknjige.si/knjige/greh/
Mario Rigoni Stern,0.0,0,163,5-6 ur,False,divjerasli-arboretum,Divjerasli arboretum,https://www.dobreknjige.si/knjige/divjerasli-arboretum/
Hilary Mantel,4.6,5,735,24-25 ur,True,wolf-hall,Wolf Hall,https://www.dobreknjige.si/knjige/wolf-hall/
Carmen de Posadas,3.3,3,264,8-9 ur,True,majhne-podlosti,Majhne podlosti,https://www.dobreknjige.si/knjige/majhne-podlosti/
Luca Crippa,5.0,1,202,6-7 ur,False,deklica-iz-kijeva,Deklica iz Kijeva,https://www.dobreknjige.si/knjige/deklica-iz-kijeva/
Chinua Achebe,5.0,1,276,9-10 ur,True,mravljisca-v-savani,Mravljišča v savani,https://www.dobreknjige.si/knjige/mravljisca-v-savani/
Andraž Rožman,4.5,2,276,9-10 ur,False,titov-sin,Titov sin,https://www.dobreknjige.si/knjige/titov-sin/
Berta Bojetu,3.5,4,218,7-8 ur,False,filio-ni-doma,Filio ni doma,https://www.dobreknjige.si/knjige/filio-ni-doma/
Sarival Sosič,0.0,0,182,6-7 ur,False,sin-in-sin,Sin in sin,https://www.dobreknjige.si/knjige/sin-in-sin/
Marie Ndiaye,3.0,1,193,6-7 ur,False,moje-je-mascevanje,Moje je maščevanje,https://www.dobreknjige.si/knjige/moje-je-mascevanje/
Peter Handke,0.0,0,145,4-5 ur,False,se-vedno-vihar,Še vedno vihar,https://www.dobreknjige.si/knjige/se-vedno-vihar/
,4.5,2,133,4-5 ur,False,h2so4-zbirka-slovenske-uporniske-poezije,H2SO4 : zbirka slovenske uporniške poezije,https://www.dobreknjige.si/knjige/h2so4-zbirka-slovenske-uporniske-poezije/
Thomas Mann,4.0,1,92,3-4 ur,True,smrt-v-benetkah,Smrt v Benetkah,https://www.dobreknjige.si/knjige/smrt-v-benetkah/
Ian Fleming,5.0,1,229,7-8 ur,False,moonraker,Moonraker,https://www.dobreknjige.si/knjige/moonraker/
Maria Barbal,5.0,3,155,5-6 ur,False,tandem,Tandem,https://www.dobreknjige.si/knjige/tandem/
Branko Cestnik,5.0,1,518,17-18 ur,False,sesti-pecat-roman,Šesti pečat : roman,https://www.dobreknjige.si/knjige/sesti-pecat-roman/
Kari Hotakainen,3.0,1,319,10-11 ur,False,ulica-okopov,Ulica okopov,https://www.dobreknjige.si/knjige/ulica-okopov/
Cilla Börjlind,5.0,1,492,16-17 ur,False,spi-mala-macica,"Spi, mala mačica",https://www.dobreknjige.si/knjige/spi-mala-macica/
Deborah Levy,4.8,5,229,7-8 ur,False,lastna-hisa,Lastna hiša,https://www.dobreknjige.si/knjige/lastna-hisa/
Marko Sosič,5.0,1,79,2-3 ur,False,samotne-ljubezni,Samotne ljubezni,https://www.dobreknjige.si/knjige/samotne-ljubezni/
Victoria Jamieson,4.0,1,256,8-9 ur,False,ko-so-zvezde-razprsene,Ko so zvezde razpršene,https://www.dobreknjige.si/knjige/ko-so-zvezde-razprsene/
Ulf Stark,4.3,3,123,4-5 ur,False,mala-knjiga-o-ljubezni,Mala knjiga o ljubezni,https://www.dobreknjige.si/knjige/mala-knjiga-o-ljubezni/
Petra Postert,5.0,3,169,5-6 ur,False,leto-ko-so-prisle-cebele,"Leto, ko so prišle čebele",https://www.dobreknjige.si/knjige/leto-ko-so-prisle-cebele/
Jennifer Bohnet,0.0,0,307,10-11 ur,False,vila-sonca-in-skrivnosti,Vila sonca in skrivnosti,https://www.dobreknjige.si/knjige/vila-sonca-in-skrivnosti/
Venedikt Vasilʹevič Erofeev,0.0,0,155,5-6 ur,False,moskva-petuski-pesnitev,Moskva &#8211; Petuški : pesnitev,https://www.dobreknjige.si/knjige/moskva-petuski-pesnitev/
Tina Vallès,4.0,1,203,6-7 ur,False,spomin-na-drevo,Spomin na drevo,https://www.dobreknjige.si/knjige/spomin-na-drevo/
Brina Švigelj-Mérat,4.0,3,172,5-6 ur,False,con-brio,Con brio,https://www.dobreknjige.si/knjige/con-brio/
Sjoerd Kuyper,0.0,0,272,9-10 ur,True,bizarno,Bizarno,https://www.dobreknjige.si/knjige/bizarno/
Margaret Eleanor Atwood,3.8,6,155,5-6 ur,False,penelopina-preja-mit-o-penelopi-in-odiseju,Penelopina preja : [mit o Penelopi in Odiseju],https://www.dobreknjige.si/knjige/penelopina-preja-mit-o-penelopi-in-odiseju/
Anna Höglund,3.0,1,,,False,biti-jaz,Biti jaz,https://www.dobreknjige.si/knjige/biti-jaz/
Vesna Lemaić,4.0,2,198,6-7 ur,False,trznil-je-odprla-je-oko,"Trznil je, odprla je oko",https://www.dobreknjige.si/knjige/trznil-je-odprla-je-oko/
Henning Mankell,5.0,1,176,5-6 ur,True,pes-ki-je-potoval-k-zvezdi,"Pes, ki je potoval k zvezdi",https://www.dobreknjige.si/knjige/pes-ki-je-potoval-k-zvezdi/
Richard Powers,4.0,3,735,24-25 ur,True,razvejenje,Razvejenje,https://www.dobreknjige.si/knjige/razvejenje/
Lucy Coleman,4.0,1,365,12-13 ur,False,poletje-v-provansi,Poletje v Provansi,https://www.dobreknjige.si/knjige/poletje-v-provansi/
Brane Mozetič,1.0,1,115,3-4 ur,False,roznate-zgodbe-iz-neheteronormativne-zgodovine-za-mladino,Rožnate zgodbe iz neheteronormativne zgodovine : (za mladino [...],https://www.dobreknjige.si/knjige/roznate-zgodbe-iz-neheteronormativne-zgodovine-za-mladino/
Anne Mette Hancock,4.7,7,295,9-10 ur,False,smrdljivka,Smrdljivka,https://www.dobreknjige.si/knjige/smrdljivka/
Klemen Kordež,0.0,0,401,13-14 ur,False,hladna-veriga,Hladna veriga,https://www.dobreknjige.si/knjige/hladna-veriga/
Anatolij Vasilʹevič Kuznecov,4.0,1,445,14-15 ur,False,babji-jar-roman-dokument,Babji Jar : roman-dokument,https://www.dobreknjige.si/knjige/babji-jar-roman-dokument/
Mirana Likar,4.6,5,364,12-13 ur,False,babuskin-kovcek,Babuškin kovček,https://www.dobreknjige.si/knjige/babuskin-kovcek/
Alain de Botton,4.8,4,279,9-10 ur,False,tok-ljubezni,Tok ljubezni,https://www.dobreknjige.si/knjige/tok-ljubezni/
Miodrag Majić,4.6,13,439,14-15 ur,False,otroci-zla,Otroci zla,https://www.dobreknjige.si/knjige/otroci-zla/
Rebecca Serle,4.3,4,295,9-10 ur,False,cez-pet-let,Čez pet let,https://www.dobreknjige.si/knjige/cez-pet-let/
Anthony Burgess,4.8,4,159,5-6 ur,False,peklenska-pomaranca,Peklenska pomaranča,https://www.dobreknjige.si/knjige/peklenska-pomaranca/
Edith Wharton,4.0,1,325,10-11 ur,True,cas-nedolznosti,Čas nedolžnosti,https://www.dobreknjige.si/knjige/cas-nedolznosti/
Beth Goobie,5.0,2,175,5-6 ur,True,ranjena-krila,Ranjena krila,https://www.dobreknjige.si/knjige/ranjena-krila/
Mattias Edvardsson,4.3,3,350,11-12 ur,False,druzinska-tragedija,Družinska tragedija,https://www.dobreknjige.si/knjige/druzinska-tragedija/
Ryu Murakami,0.0,0,131,4-5 ur,False,skoraj-prosojna-modrina,Skoraj prosojna modrina,https://www.dobreknjige.si/knjige/skoraj-prosojna-modrina/
Jaco Jacobs,4.8,6,126,4-5 ur,False,dober-dan-za-plezanje-po-drevesih,Dober dan za plezanje po drevesih,https://www.dobreknjige.si/knjige/dober-dan-za-plezanje-po-drevesih/
Božo Dimnik,0.0,0,412,13-14 ur,False,v-znamenju-ribe,V znamenju ribe,https://www.dobreknjige.si/knjige/v-znamenju-ribe/
Daniella Carmi,4.0,2,163,5-6 ur,False,samir-in-jonatan,Samir in Jonatan,https://www.dobreknjige.si/knjige/samir-in-jonatan/
Vladimir Vertlib,0.0,0,294,9-10 ur,False,vmesne-postaje,Vmesne postaje,https://www.dobreknjige.si/knjige/vmesne-postaje/
Hervé Le Tellier,4.1,16,365,12-13 ur,True,anomalija,Anomalija,https://www.dobreknjige.si/knjige/anomalija/
Davorin Lenko,4.3,3,295,9-10 ur,False,triger,Triger,https://www.dobreknjige.si/knjige/triger/
Jackie Kay,4.7,3,219,7-8 ur,True,trobenta,Trobenta,https://www.dobreknjige.si/knjige/trobenta/
Aleš Šteger,3.7,3,275,9-10 ur,False,bogovi-se-nam-smejijo,Bogovi se nam smejijo,https://www.dobreknjige.si/knjige/bogovi-se-nam-smejijo/
Ana Schnabl,0.0,0,289,9-10 ur,False,plima,Plima,https://www.dobreknjige.si/knjige/plima/
